Address,USB0::0x2A8D::0x0101::MY59001058::0::INSTR
Model,34465A
Serial Number:,MY59001058
Firmware Version,A.03.00-02.40-03.00-00.52-03-01
Start Time,2020-07-09 13:21:52.460
Stop Time,2020-07-09 13:40:25.006
Sample Count,3206
Aperture Enable:,False
Auto Range:,On
Auto Zero:,On
Measurement:,DC Current
NPLC:,10
Null State:,False
Null Value(ADC):,0
Range(ADC):,1
,
Time (s),Channel 1 (ADC)
2020-07-09 13:21:52.997,0.27587434
2020-07-09 13:21:53.341,0.280570185
2020-07-09 13:21:53.684,0.265628212
2020-07-09 13:21:54.028,0.254389742
2020-07-09 13:21:54.372,0.264548889
2020-07-09 13:21:54.716,0.256871047
2020-07-09 13:21:55.059,0.24969275
2020-07-09 13:21:55.403,0.270855017
2020-07-09 13:21:55.747,0.268400903
2020-07-09 13:21:56.093,0.248902463
2020-07-09 13:21:56.437,0.249956899
2020-07-09 13:21:56.785,0.248751115
2020-07-09 13:21:57.131,0.255060203
2020-07-09 13:21:57.475,0.280343995
2020-07-09 13:21:57.818,0.271528327
2020-07-09 13:21:58.164,0.249066394
2020-07-09 13:21:58.509,0.250538524
2020-07-09 13:21:58.853,0.247804614
2020-07-09 13:21:59.196,0.249123933
2020-07-09 13:21:59.541,0.249494841
2020-07-09 13:21:59.884,0.249036307
2020-07-09 13:22:00.228,0.249707745
2020-07-09 13:22:00.572,0.251772169
2020-07-09 13:22:00.917,0.249768616
2020-07-09 13:22:01.260,0.248933037
2020-07-09 13:22:01.604,0.250379841
2020-07-09 13:22:01.948,0.248955211
2020-07-09 13:22:02.292,0.249441988
2020-07-09 13:22:02.636,0.250199451
2020-07-09 13:22:02.980,0.248060159
2020-07-09 13:22:03.324,0.248867709
2020-07-09 13:22:03.669,0.248918215
2020-07-09 13:22:04.012,0.248338396
2020-07-09 13:22:04.356,0.249118681
2020-07-09 13:22:04.700,0.249564906
2020-07-09 13:22:05.044,0.24974823
2020-07-09 13:22:05.437,0.248060077
2020-07-09 13:22:05.781,0.249687486
2020-07-09 13:22:06.124,0.249474397
2020-07-09 13:22:06.470,0.248843428
2020-07-09 13:22:06.815,0.250742945
2020-07-09 13:22:07.159,0.251411587
2020-07-09 13:22:07.503,0.249601135
2020-07-09 13:22:07.846,0.251482133
2020-07-09 13:22:08.191,0.24841904
2020-07-09 13:22:08.535,0.249255362
2020-07-09 13:22:08.878,0.249782821
2020-07-09 13:22:09.221,0.249502702
2020-07-09 13:22:09.566,0.25155979
2020-07-09 13:22:09.910,0.248869002
2020-07-09 13:22:10.254,0.251459738
2020-07-09 13:22:10.599,0.25708408
2020-07-09 13:22:10.944,0.275262895
2020-07-09 13:22:11.287,0.325391315
2020-07-09 13:22:11.632,0.364075133
2020-07-09 13:22:11.977,0.309689478
2020-07-09 13:22:12.321,0.309216965
2020-07-09 13:22:12.664,0.30916332
2020-07-09 13:22:13.009,0.309761649
2020-07-09 13:22:13.355,0.305296191
2020-07-09 13:22:13.699,0.318735509
2020-07-09 13:22:14.092,0.320032542
2020-07-09 13:22:14.435,0.332081349
2020-07-09 13:22:14.779,0.327924975
2020-07-09 13:22:15.172,0.345990133
2020-07-09 13:22:15.517,0.315028562
2020-07-09 13:22:15.862,0.314246171
2020-07-09 13:22:16.206,0.31695544
2020-07-09 13:22:16.549,0.311214451
2020-07-09 13:22:16.892,0.30897994
2020-07-09 13:22:17.235,0.304747719
2020-07-09 13:22:17.579,0.307513301
2020-07-09 13:22:17.925,0.335730982
2020-07-09 13:22:18.269,0.326339004
2020-07-09 13:22:18.660,0.314331516
2020-07-09 13:22:19.004,0.305215365
2020-07-09 13:22:19.348,0.308456854
2020-07-09 13:22:19.741,0.313564713
2020-07-09 13:22:20.085,0.310444613
2020-07-09 13:22:20.430,0.306632637
2020-07-09 13:22:20.775,0.307535385
2020-07-09 13:22:21.117,0.30750267
2020-07-09 13:22:21.461,0.305873453
2020-07-09 13:22:21.805,0.308026386
2020-07-09 13:22:22.150,0.308861412
2020-07-09 13:22:22.495,0.308061295
2020-07-09 13:22:22.838,0.30605761
2020-07-09 13:22:23.230,0.313777197
2020-07-09 13:22:23.574,0.311400996
2020-07-09 13:22:23.919,0.314375972
2020-07-09 13:22:24.263,0.305300808
2020-07-09 13:22:24.607,0.302201746
2020-07-09 13:22:24.952,0.305398689
2020-07-09 13:22:25.296,0.309019015
2020-07-09 13:22:25.641,0.312841497
2020-07-09 13:22:25.986,0.309359478
2020-07-09 13:22:26.329,0.306961251
2020-07-09 13:22:26.674,0.307229232
2020-07-09 13:22:27.019,0.310641205
2020-07-09 13:22:27.362,0.307457895
2020-07-09 13:22:27.707,0.307117497
2020-07-09 13:22:28.100,0.350813695
2020-07-09 13:22:28.442,0.331235825
2020-07-09 13:22:28.786,0.33295851
2020-07-09 13:22:29.130,0.336994525
2020-07-09 13:22:29.474,0.335880107
2020-07-09 13:22:29.819,0.335144428
2020-07-09 13:22:30.163,0.335403873
2020-07-09 13:22:30.506,0.335705824
2020-07-09 13:22:30.849,0.33535954
2020-07-09 13:22:31.193,0.321091192
2020-07-09 13:22:31.539,0.308819645
2020-07-09 13:22:31.883,0.313324797
2020-07-09 13:22:32.227,0.30873139
2020-07-09 13:22:32.573,0.306611281
2020-07-09 13:22:32.917,0.306843914
2020-07-09 13:22:33.261,0.326911015
2020-07-09 13:22:33.604,0.335165365
2020-07-09 13:22:33.947,0.336335149
2020-07-09 13:22:34.291,0.317503687
2020-07-09 13:22:34.635,0.30939703
2020-07-09 13:22:34.981,0.30723517
2020-07-09 13:22:35.326,0.313583426
2020-07-09 13:22:35.671,0.311541956
2020-07-09 13:22:36.014,0.307907141
2020-07-09 13:22:36.359,0.330483169
2020-07-09 13:22:36.704,0.334424166
2020-07-09 13:22:37.047,0.335394956
2020-07-09 13:22:37.391,0.315838322
2020-07-09 13:22:37.736,0.306916693
2020-07-09 13:22:38.079,0.308728357
2020-07-09 13:22:38.423,0.306385983
2020-07-09 13:22:38.767,0.308884128
2020-07-09 13:22:39.112,0.315285502
2020-07-09 13:22:39.456,0.306396762
2020-07-09 13:22:39.800,0.311078905
2020-07-09 13:22:40.145,0.308764637
2020-07-09 13:22:40.489,0.331615073
2020-07-09 13:22:40.833,0.326033087
2020-07-09 13:22:41.178,0.307998436
2020-07-09 13:22:41.522,0.310313838
2020-07-09 13:22:41.868,0.309393004
2020-07-09 13:22:42.212,0.308764524
2020-07-09 13:22:42.557,0.308901227
2020-07-09 13:22:42.900,0.307301706
2020-07-09 13:22:43.246,0.309246645
2020-07-09 13:22:43.590,0.333242773
2020-07-09 13:22:43.936,0.32238549
2020-07-09 13:22:44.280,0.307546532
2020-07-09 13:22:44.624,0.31636361
2020-07-09 13:22:44.967,0.309144546
2020-07-09 13:22:45.359,0.306330765
2020-07-09 13:22:45.705,0.309909528
2020-07-09 13:22:46.049,0.308614582
2020-07-09 13:22:46.395,0.31113026
2020-07-09 13:22:46.741,0.308267381
2020-07-09 13:22:47.085,0.314033169
2020-07-09 13:22:47.431,0.314601448
2020-07-09 13:22:47.776,0.334561019
2020-07-09 13:22:48.119,0.317050152
2020-07-09 13:22:48.464,0.308831103
2020-07-09 13:22:48.808,0.308654227
2020-07-09 13:22:49.152,0.310471533
2020-07-09 13:22:49.497,0.309527397
2020-07-09 13:22:49.890,0.30564874
2020-07-09 13:22:50.235,0.309149935
2020-07-09 13:22:50.579,0.308510564
2020-07-09 13:22:50.922,0.328285332
2020-07-09 13:22:51.266,0.353553318
2020-07-09 13:22:51.610,0.345536261
2020-07-09 13:22:51.954,0.342584656
2020-07-09 13:22:52.299,0.333477491
2020-07-09 13:22:52.643,0.336114847
2020-07-09 13:22:52.988,0.334323158
2020-07-09 13:22:53.332,0.33495532
2020-07-09 13:22:53.677,0.324585572
2020-07-09 13:22:54.020,0.308225109
2020-07-09 13:22:54.366,0.307590144
2020-07-09 13:22:54.708,0.306892196
2020-07-09 13:22:55.053,0.309567349
2020-07-09 13:22:55.397,0.309751557
2020-07-09 13:22:55.741,0.331015082
2020-07-09 13:22:56.086,0.331646833
2020-07-09 13:22:56.431,0.306484835
2020-07-09 13:22:56.775,0.307475255
2020-07-09 13:22:57.119,0.309576038
2020-07-09 13:22:57.464,0.308796043
2020-07-09 13:22:57.809,0.308785228
2020-07-09 13:22:58.154,0.309211646
2020-07-09 13:22:58.547,0.309101934
2020-07-09 13:22:58.891,0.307127955
2020-07-09 13:22:59.234,0.308017576
2020-07-09 13:22:59.578,0.30850474
2020-07-09 13:22:59.922,0.307863621
2020-07-09 13:23:00.266,0.31082925
2020-07-09 13:23:00.608,0.309521524
2020-07-09 13:23:00.952,0.30887471
2020-07-09 13:23:01.297,0.316125541
2020-07-09 13:23:01.641,0.309837495
2020-07-09 13:23:01.986,0.308311792
2020-07-09 13:23:02.331,0.306571015
2020-07-09 13:23:02.676,0.309004876
2020-07-09 13:23:03.021,0.332560154
2020-07-09 13:23:03.366,0.323398069
2020-07-09 13:23:03.710,0.310116949
2020-07-09 13:23:04.055,0.316265701
2020-07-09 13:23:04.398,0.312011334
2020-07-09 13:23:04.741,0.304894491
2020-07-09 13:23:05.084,0.303087497
2020-07-09 13:23:05.430,0.308613153
2020-07-09 13:23:05.823,0.31153134
2020-07-09 13:23:06.166,0.306556865
2020-07-09 13:23:06.511,0.309347147
2020-07-09 13:23:06.854,0.307875724
2020-07-09 13:23:07.197,0.306209869
2020-07-09 13:23:07.542,0.306674493
2020-07-09 13:23:07.885,0.308743164
2020-07-09 13:23:08.229,0.309897647
2020-07-09 13:23:08.574,0.308462253
2020-07-09 13:23:08.919,0.30914579
2020-07-09 13:23:09.312,0.313186513
2020-07-09 13:23:09.657,0.313393816
2020-07-09 13:23:10.002,0.30752315
2020-07-09 13:23:10.346,0.304245196
2020-07-09 13:23:10.689,0.304022919
2020-07-09 13:23:11.033,0.30938628
2020-07-09 13:23:11.377,0.309168761
2020-07-09 13:23:11.721,0.308273569
2020-07-09 13:23:12.066,0.310972356
2020-07-09 13:23:12.411,0.308879267
2020-07-09 13:23:12.755,0.308288224
2020-07-09 13:23:13.100,0.308263212
2020-07-09 13:23:13.444,0.310366736
2020-07-09 13:23:13.836,0.315991565
2020-07-09 13:23:14.180,0.310084754
2020-07-09 13:23:14.524,0.306698684
2020-07-09 13:23:14.868,0.308920772
2020-07-09 13:23:15.212,0.308024142
2020-07-09 13:23:15.557,0.308298503
2020-07-09 13:23:15.901,0.30996559
2020-07-09 13:23:16.245,0.321649422
2020-07-09 13:23:16.591,0.331829571
2020-07-09 13:23:16.933,0.309688428
2020-07-09 13:23:17.277,0.309824246
2020-07-09 13:23:17.622,0.306204554
2020-07-09 13:23:17.967,0.310331466
2020-07-09 13:23:18.311,0.308571589
2020-07-09 13:23:18.656,0.309374721
2020-07-09 13:23:19.000,0.306678325
2020-07-09 13:23:19.344,0.305681295
2020-07-09 13:23:19.688,0.306208577
2020-07-09 13:23:20.033,0.306856227
2020-07-09 13:23:20.377,0.309518485
2020-07-09 13:23:20.721,0.308109177
2020-07-09 13:23:21.067,0.305824849
2020-07-09 13:23:21.410,0.305347849
2020-07-09 13:23:21.755,0.305226072
2020-07-09 13:23:22.101,0.3053591
2020-07-09 13:23:22.446,0.30544583
2020-07-09 13:23:22.790,0.307061558
2020-07-09 13:23:23.135,0.307378228
2020-07-09 13:23:23.478,0.330429879
2020-07-09 13:23:23.822,0.32753641
2020-07-09 13:23:24.166,0.310200653
2020-07-09 13:23:24.510,0.311761971
2020-07-09 13:23:24.852,0.311813083
2020-07-09 13:23:25.196,0.31204371
2020-07-09 13:23:25.540,0.311794659
2020-07-09 13:23:25.884,0.312692288
2020-07-09 13:23:26.228,0.31236747
2020-07-09 13:23:26.573,0.313901756
2020-07-09 13:23:26.916,0.310685941
2020-07-09 13:23:27.260,0.307445433
2020-07-09 13:23:27.604,0.331297267
2020-07-09 13:23:27.947,0.332558013
2020-07-09 13:23:28.292,0.308951436
2020-07-09 13:23:28.637,0.306072678
2020-07-09 13:23:28.981,0.305616646
2020-07-09 13:23:29.325,0.305949742
2020-07-09 13:23:29.672,0.306722301
2020-07-09 13:23:30.016,0.306570126
2020-07-09 13:23:30.359,0.307156963
2020-07-09 13:23:30.703,0.305889588
2020-07-09 13:23:31.045,0.306778247
2020-07-09 13:23:31.389,0.306358648
2020-07-09 13:23:31.732,0.306068574
2020-07-09 13:23:32.076,0.304987669
2020-07-09 13:23:32.420,0.306536313
2020-07-09 13:23:32.812,0.30552577
2020-07-09 13:23:33.157,0.313181
2020-07-09 13:23:33.502,0.309841422
2020-07-09 13:23:33.845,0.305454542
2020-07-09 13:23:34.189,0.309467714
2020-07-09 13:23:34.534,0.308990075
2020-07-09 13:23:34.878,0.318608746
2020-07-09 13:23:35.223,0.314378802
2020-07-09 13:23:35.568,0.317042417
2020-07-09 13:23:35.912,0.336491642
2020-07-09 13:23:36.258,0.318012317
2020-07-09 13:23:36.603,0.312268585
2020-07-09 13:23:36.947,0.310841963
2020-07-09 13:23:37.292,0.306580529
2020-07-09 13:23:37.636,0.309158117
2020-07-09 13:23:37.981,0.3242043
2020-07-09 13:23:38.325,0.31528014
2020-07-09 13:23:38.670,0.314515969
2020-07-09 13:23:39.014,0.312065602
2020-07-09 13:23:39.358,0.31368234
2020-07-09 13:23:39.701,0.316910033
2020-07-09 13:23:40.046,0.312507625
2020-07-09 13:23:40.390,0.314296733
2020-07-09 13:23:40.735,0.315357998
2020-07-09 13:23:41.128,0.313192921
2020-07-09 13:23:41.472,0.31438926
2020-07-09 13:23:41.817,0.313658454
2020-07-09 13:23:42.162,0.312922468
2020-07-09 13:23:42.507,0.337853436
2020-07-09 13:23:42.851,0.353374207
2020-07-09 13:23:43.194,0.349718786
2020-07-09 13:23:43.537,0.340120215
2020-07-09 13:23:43.882,0.3418797
2020-07-09 13:23:44.227,0.339481747
2020-07-09 13:23:44.571,0.31768527
2020-07-09 13:23:44.915,0.318202769
2020-07-09 13:23:45.261,0.343546016
2020-07-09 13:23:45.605,0.342149246
2020-07-09 13:23:45.950,0.340320452
2020-07-09 13:23:46.294,0.3410945
2020-07-09 13:23:46.638,0.33932038
2020-07-09 13:23:46.983,0.336474843
2020-07-09 13:23:47.327,0.309878107
2020-07-09 13:23:47.671,0.315277593
2020-07-09 13:23:48.015,0.321169296
2020-07-09 13:23:48.358,0.318012367
2020-07-09 13:23:48.702,0.313754646
2020-07-09 13:23:49.044,0.334441221
2020-07-09 13:23:49.389,0.343522388
2020-07-09 13:23:49.733,0.341217305
2020-07-09 13:23:50.078,0.320272207
2020-07-09 13:23:50.423,0.314864192
2020-07-09 13:23:50.767,0.31457017
2020-07-09 13:23:51.161,0.362384884
2020-07-09 13:23:51.504,0.364893482
2020-07-09 13:23:51.847,0.347854484
2020-07-09 13:23:52.190,0.346005126
2020-07-09 13:23:52.584,0.344016314
2020-07-09 13:23:52.929,0.350167721
2020-07-09 13:23:53.273,0.341683197
2020-07-09 13:23:53.618,0.333520404
2020-07-09 13:23:53.962,0.313597613
2020-07-09 13:23:54.306,0.310741556
2020-07-09 13:23:54.650,0.315363799
2020-07-09 13:23:54.994,0.314761417
2020-07-09 13:23:55.340,0.31501548
2020-07-09 13:23:55.685,0.312931702
2020-07-09 13:23:56.030,0.312242437
2020-07-09 13:23:56.374,0.3152141
2020-07-09 13:23:56.718,0.311281284
2020-07-09 13:23:57.063,0.313963415
2020-07-09 13:23:57.408,0.314098992
2020-07-09 13:23:57.753,0.311403316
2020-07-09 13:23:58.097,0.321650028
2020-07-09 13:23:58.443,0.309801031
2020-07-09 13:23:58.787,0.316020206
2020-07-09 13:23:59.132,0.315346154
2020-07-09 13:23:59.476,0.311173012
2020-07-09 13:23:59.821,0.313813612
2020-07-09 13:24:00.166,0.310757064
2020-07-09 13:24:00.558,0.315247973
2020-07-09 13:24:00.903,0.312978219
2020-07-09 13:24:01.247,0.320939033
2020-07-09 13:24:01.590,0.31849769
2020-07-09 13:24:01.935,0.314893421
2020-07-09 13:24:02.280,0.322336901
2020-07-09 13:24:02.624,0.319126018
2020-07-09 13:24:02.968,0.32054317
2020-07-09 13:24:03.312,0.328278802
2020-07-09 13:24:03.657,0.33833401
2020-07-09 13:24:04.001,0.314874031
2020-07-09 13:24:04.345,0.313993562
2020-07-09 13:24:04.690,0.313074953
2020-07-09 13:24:05.035,0.313917112
2020-07-09 13:24:05.426,0.313767849
2020-07-09 13:24:05.772,0.315949068
2020-07-09 13:24:06.116,0.314982665
2020-07-09 13:24:06.460,0.31329038
2020-07-09 13:24:06.803,0.315690714
2020-07-09 13:24:07.147,0.313180436
2020-07-09 13:24:07.492,0.317822201
2020-07-09 13:24:07.836,0.31125073
2020-07-09 13:24:08.181,0.318027926
2020-07-09 13:24:08.525,0.319899033
2020-07-09 13:24:08.868,0.314076855
2020-07-09 13:24:09.212,0.314350884
2020-07-09 13:24:09.557,0.316511602
2020-07-09 13:24:09.900,0.315446637
2020-07-09 13:24:10.245,0.312605934
2020-07-09 13:24:10.589,0.314276059
2020-07-09 13:24:10.935,0.315145805
2020-07-09 13:24:11.279,0.310574471
2020-07-09 13:24:11.623,0.318881547
2020-07-09 13:24:11.967,0.311282001
2020-07-09 13:24:12.311,0.3146251
2020-07-09 13:24:12.656,0.315839046
2020-07-09 13:24:13.000,0.3180116
2020-07-09 13:24:13.345,0.315793568
2020-07-09 13:24:13.689,0.336702963
2020-07-09 13:24:14.032,0.332136562
2020-07-09 13:24:14.376,0.314508764
2020-07-09 13:24:14.719,0.313579109
2020-07-09 13:24:15.063,0.313871027
2020-07-09 13:24:15.455,0.31184894
2020-07-09 13:24:15.800,0.303758503
2020-07-09 13:24:16.145,0.306734309
2020-07-09 13:24:16.488,0.313781843
2020-07-09 13:24:16.833,0.311043458
2020-07-09 13:24:17.179,0.309710535
2020-07-09 13:24:17.523,0.31051598
2020-07-09 13:24:17.867,0.310128632
2020-07-09 13:24:18.211,0.316841263
2020-07-09 13:24:18.554,0.318364653
2020-07-09 13:24:18.898,0.341451295
2020-07-09 13:24:19.243,0.320703784
2020-07-09 13:24:19.587,0.311727237
2020-07-09 13:24:19.931,0.309123515
2020-07-09 13:24:20.322,0.31172074
2020-07-09 13:24:20.667,0.311066023
2020-07-09 13:24:21.011,0.307404997
2020-07-09 13:24:21.355,0.307371652
2020-07-09 13:24:21.699,0.309097907
2020-07-09 13:24:22.044,0.308773061
2020-07-09 13:24:22.387,0.310865399
2020-07-09 13:24:22.733,0.308906555
2020-07-09 13:24:23.077,0.311329832
2020-07-09 13:24:23.422,0.306739533
2020-07-09 13:24:23.766,0.311135705
2020-07-09 13:24:24.108,0.306350521
2020-07-09 13:24:24.452,0.306220891
2020-07-09 13:24:24.795,0.317950431
2020-07-09 13:24:25.138,0.332996909
2020-07-09 13:24:25.483,0.332324688
2020-07-09 13:24:25.828,0.320599088
2020-07-09 13:24:26.172,0.308348846
2020-07-09 13:24:26.517,0.308339574
2020-07-09 13:24:26.861,0.308917947
2020-07-09 13:24:27.206,0.304656225
2020-07-09 13:24:27.550,0.305908322
2020-07-09 13:24:27.893,0.315716059
2020-07-09 13:24:28.238,0.307005028
2020-07-09 13:24:28.583,0.307411138
2020-07-09 13:24:28.976,0.327231963
2020-07-09 13:24:29.319,0.326436873
2020-07-09 13:24:29.662,0.307185614
2020-07-09 13:24:30.005,0.32471515
2020-07-09 13:24:30.350,0.327145665
2020-07-09 13:24:30.694,0.307527715
2020-07-09 13:24:31.037,0.307091951
2020-07-09 13:24:31.382,0.306002919
2020-07-09 13:24:31.728,0.305721495
2020-07-09 13:24:32.072,0.308967959
2020-07-09 13:24:32.417,0.306790044
2020-07-09 13:24:32.762,0.30861714
2020-07-09 13:24:33.106,0.337666044
2020-07-09 13:24:33.450,0.324039003
2020-07-09 13:24:33.794,0.308144853
2020-07-09 13:24:34.137,0.306073509
2020-07-09 13:24:34.482,0.307144267
2020-07-09 13:24:34.826,0.307964733
2020-07-09 13:24:35.170,0.308389427
2020-07-09 13:24:35.514,0.307444131
2020-07-09 13:24:35.858,0.308915965
2020-07-09 13:24:36.202,0.308105726
2020-07-09 13:24:36.547,0.306605828
2020-07-09 13:24:36.889,0.307836251
2020-07-09 13:24:37.234,0.331092079
2020-07-09 13:24:37.579,0.322368153
2020-07-09 13:24:37.925,0.3236013
2020-07-09 13:24:38.268,0.324538477
2020-07-09 13:24:38.613,0.313455126
2020-07-09 13:24:38.958,0.31482986
2020-07-09 13:24:39.301,0.303484841
2020-07-09 13:24:39.646,0.303188485
2020-07-09 13:24:39.991,0.306724111
2020-07-09 13:24:40.336,0.335186603
2020-07-09 13:24:40.679,0.335887153
2020-07-09 13:24:41.023,0.332783065
2020-07-09 13:24:41.367,0.309817169
2020-07-09 13:24:41.712,0.309650661
2020-07-09 13:24:42.056,0.31082672
2020-07-09 13:24:42.401,0.306560967
2020-07-09 13:24:42.745,0.305904958
2020-07-09 13:24:43.088,0.312173557
2020-07-09 13:24:43.433,0.305406285
2020-07-09 13:24:43.779,0.305892548
2020-07-09 13:24:44.121,0.308552961
2020-07-09 13:24:44.466,0.333236463
2020-07-09 13:24:44.810,0.317680238
2020-07-09 13:24:45.153,0.304878659
2020-07-09 13:24:45.496,0.308943124
2020-07-09 13:24:45.842,0.308308463
2020-07-09 13:24:46.186,0.307672111
2020-07-09 13:24:46.530,0.30612557
2020-07-09 13:24:46.875,0.307466216
2020-07-09 13:24:47.219,0.308695078
2020-07-09 13:24:47.564,0.306321072
2020-07-09 13:24:47.906,0.305952525
2020-07-09 13:24:48.251,0.306723423
2020-07-09 13:24:48.595,0.313328575
2020-07-09 13:24:48.940,0.303671692
2020-07-09 13:24:49.286,0.305484525
2020-07-09 13:24:49.630,0.306027772
2020-07-09 13:24:49.975,0.30725292
2020-07-09 13:24:50.317,0.305261248
2020-07-09 13:24:50.663,0.303841601
2020-07-09 13:24:51.007,0.329659127
2020-07-09 13:24:51.350,0.342514106
2020-07-09 13:24:51.696,0.338725821
